Link,Name,Disease Name
http://babelnet.org/rdf/page/s00025915n,s00025915n,deficiency disease
http://babelnet.org/rdf/page/s00025962n,s00025962n,osteoarthritis
http://babelnet.org/rdf/page/s00026057n,s00026057n,delirium
http://babelnet.org/rdf/page/s00026058n,s00026058n,delirium tremens
http://babelnet.org/rdf/page/s00026355n,s00026355n,depersonalization
http://babelnet.org/rdf/page/s00026454n,s00026454n,dermatitis
http://babelnet.org/rdf/page/s00026495n,s00026495n,prolapse
http://babelnet.org/rdf/page/s00026932n,s00026932n,dichromacy
http://babelnet.org/rdf/page/s00027273n,s00027273n,diplegia
http://babelnet.org/rdf/page/s00027547n,s00027547n,disease of the neuromuscular junction
http://babelnet.org/rdf/page/s00027548n,s00027548n,skin disease
http://babelnet.org/rdf/page/s00027746n,s00027746n,distal muscular dystrophy
http://babelnet.org/rdf/page/s00027818n,s00027818n,mental disorder
http://babelnet.org/rdf/page/s00027872n,s00027872n,diverticulum
http://babelnet.org/rdf/page/s00028967n,s00028967n,dryness
http://babelnet.org/rdf/page/s00029273n,s00029273n,dwarfism
http://babelnet.org/rdf/page/s00029308n,s00029308n,dysarthria
http://babelnet.org/rdf/page/s00029318n,s00029318n,dyslexia
http://babelnet.org/rdf/page/s00029320n,s00029320n,dysmenorrhea
http://babelnet.org/rdf/page/s00029322n,s00029322n,dysosmia
http://babelnet.org/rdf/page/s00029323n,s00029323n,Hurler's syndrome
http://babelnet.org/rdf/page/s00029331n,s00029331n,dysplasia
http://babelnet.org/rdf/page/s00029699n,s00029699n,ectopia
http://babelnet.org/rdf/page/s00030318n,s00030318n,elephantiasis
http://babelnet.org/rdf/page/s00030511n,s00030511n,embryonal rhabdomyosarcoma
http://babelnet.org/rdf/page/s00030600n,s00030600n,emphysema
http://babelnet.org/rdf/page/s00030641n,s00030641n,empyema
http://babelnet.org/rdf/page/s00030753n,s00030753n,endemic
http://babelnet.org/rdf/page/s00030778n,s00030778n,metritis
http://babelnet.org/rdf/page/s00031001n,s00031001n,enteropathy
http://babelnet.org/rdf/page/s00031066n,s00031066n,enuresis
http://babelnet.org/rdf/page/s00031142n,s00031142n,epicondylitis
http://babelnet.org/rdf/page/s00031230n,s00031230n,epispadias
http://babelnet.org/rdf/page/s00031255n,s00031255n,epithelioma
http://babelnet.org/rdf/page/s00031504n,s00031504n,erysipelas
http://babelnet.org/rdf/page/s00031510n,s00031510n,erythema nodosum
http://babelnet.org/rdf/page/s00031522n,s00031522n,erythroderma
http://babelnet.org/rdf/page/s00032104n,s00032104n,exanthema subitum
http://babelnet.org/rdf/page/s00032529n,s00032529n,eye disease
http://babelnet.org/rdf/page/s00032531n,s00032531n,sty
http://babelnet.org/rdf/page/s00034420n,s00034420n,filariasis
http://babelnet.org/rdf/page/s00034891n,s00034891n,fistula
http://babelnet.org/rdf/page/s00035106n,s00035106n,flatfoot
http://babelnet.org/rdf/page/s00035153n,s00035153n,flea bite
http://babelnet.org/rdf/page/s00035268n,s00035268n,musca volitans
http://babelnet.org/rdf/page/s00035422n,s00035422n,Wernicke's aphasia
http://babelnet.org/rdf/page/s00035559n,s00035559n,focal seizure
http://babelnet.org/rdf/page/s00035621n,s00035621n,folliculitis
http://babelnet.org/rdf/page/s00035664n,s00035664n,food poisoning
http://babelnet.org/rdf/page/s00036651n,s00036651n,frontal sinus
http://babelnet.org/rdf/page/s00036684n,s00036684n,fructosuria
http://babelnet.org/rdf/page/s00036830n,s00036830n,functional disorder
http://babelnet.org/rdf/page/s00040415n,s00040415n,giantism
http://babelnet.org/rdf/page/s00040595n,s00040595n,infectious mononucleosis
http://babelnet.org/rdf/page/s00040917n,s00040917n,goiter
http://babelnet.org/rdf/page/s00041395n,s00041395n,granuloma
http://babelnet.org/rdf/page/s00042412n,s00042412n,habitual abortion
http://babelnet.org/rdf/page/s00042483n,s00042483n,hemorrhoid
http://babelnet.org/rdf/page/s00042486n,s00042486n,hemosiderosis
http://babelnet.org/rdf/page/s00042715n,s00042715n,hamartoma
http://babelnet.org/rdf/page/s00042773n,s00042773n,Hand-Schuller-Christian disease
http://babelnet.org/rdf/page/s00043426n,s00043426n,heat exhaustion
http://babelnet.org/rdf/page/s00043656n,s00043656n,migraine
http://babelnet.org/rdf/page/s00043664n,s00043664n,hemiplegia
http://babelnet.org/rdf/page/s00043848n,s00043848n,hernia
http://babelnet.org/rdf/page/s00043849n,s00043849n,herniated disc
http://babelnet.org/rdf/page/s00043874n,s00043874n,herpes simplex
http://babelnet.org/rdf/page/s00044056n,s00044056n,high blood pressure
http://babelnet.org/rdf/page/s00044238n,s00044238n,hirsuteness
http://babelnet.org/rdf/page/s00044428n,s00044428n,lordosis
http://babelnet.org/rdf/page/s00045208n,s00045208n,kyphosis
http://babelnet.org/rdf/page/s00045408n,s00045408n,rabies
http://babelnet.org/rdf/page/s00045514n,s00045514n,lipemia
http://babelnet.org/rdf/page/s00045532n,s00045532n,hyperplasia
http://babelnet.org/rdf/page/s00045549n,s00045549n,hypertrophy
http://babelnet.org/rdf/page/s00045552n,s00045552n,hypervitaminosis
http://babelnet.org/rdf/page/s00045553n,s00045553n,hypervolemia
http://babelnet.org/rdf/page/s00045577n,s00045577n,hypocalcemia
http://babelnet.org/rdf/page/s00045602n,s00045602n,hyponatremia
http://babelnet.org/rdf/page/s00045630n,s00045630n,hypothermia
http://babelnet.org/rdf/page/s00045640n,s00045640n,hypovolemia
http://babelnet.org/rdf/page/s00045642n,s00045642n,hypoxia
http://babelnet.org/rdf/page/s00045792n,s00045792n,seizure
http://babelnet.org/rdf/page/s00045843n,s00045843n,idiopathic disease
http://babelnet.org/rdf/page/s00045844n,s00045844n,thrombocytopenic purpura
http://babelnet.org/rdf/page/s00045916n,s00045916n,ileitis
http://babelnet.org/rdf/page/s00046325n,s00046325n,incompetence
http://babelnet.org/rdf/page/s00046564n,s00046564n,occupational disease
http://babelnet.org/rdf/page/s00046630n,s00046630n,infectious disease
http://babelnet.org/rdf/page/s00046653n,s00046653n,inferiority complex
http://babelnet.org/rdf/page/s00046672n,s00046672n,inflammation
http://babelnet.org/rdf/page/s00046673n,s00046673n,inflammatory disease
http://babelnet.org/rdf/page/s00046756n,s00046756n,inguinal hernia
http://babelnet.org/rdf/page/s00046918n,s00046918n,insomnia
http://babelnet.org/rdf/page/s00047225n,s00047225n,pneumocytosis
http://babelnet.org/rdf/page/s00047228n,s00047228n,intertrigo
http://babelnet.org/rdf/page/s00047565n,s00047565n,irritable bowel syndrome
http://babelnet.org/rdf/page/s00047725n,s00047725n,scabies
http://babelnet.org/rdf/page/s00048170n,s00048170n,jet lag
http://babelnet.org/rdf/page/s00048856n,s00048856n,Kawasaki disease
http://babelnet.org/rdf/page/s00048939n,s00048939n,keratoconus
http://babelnet.org/rdf/page/s00048952n,s00048952n,keratosis pilaris
http://babelnet.org/rdf/page/s00048956n,s00048956n,kerion
http://babelnet.org/rdf/page/s00049637n,s00049637n,lactose intolerance
http://babelnet.org/rdf/page/s00050059n,s00050059n,laryngospasm
http://babelnet.org/rdf/page/s00050136n,s00050136n,tennis elbow
http://babelnet.org/rdf/page/s00051627n,s00051627n,liver disease
http://babelnet.org/rdf/page/s00052428n,s00052428n,Lyme disease
http://babelnet.org/rdf/page/s00052437n,s00052437n,lymphangiectasia
http://babelnet.org/rdf/page/s00052444n,s00052444n,lymphedema
http://babelnet.org/rdf/page/s00052605n,s00052605n,macrocephaly
http://babelnet.org/rdf/page/s00052626n,s00052626n,macular degeneration
http://babelnet.org/rdf/page/s00052919n,s00052919n,seasickness
http://babelnet.org/rdf/page/s00053003n,s00053003n,malignancy
http://babelnet.org/rdf/page/s00054231n,s00054231n,melanosis
http://babelnet.org/rdf/page/s00054331n,s00054331n
http://babelnet.org/rdf/page/s00054432n,s00054432n
http://babelnet.org/rdf/page/s00054538n,s00054538n
http://babelnet.org/rdf/page/s00054585n,s00054585n
http://babelnet.org/rdf/page/s00054672n,s00054672n
http://babelnet.org/rdf/page/s00054743n,s00054743n
http://babelnet.org/rdf/page/s00054942n,s00054942n
http://babelnet.org/rdf/page/s00054995n,s00054995n
http://babelnet.org/rdf/page/s00055011n,s00055011n
http://babelnet.org/rdf/page/s00055085n,s00055085n
http://babelnet.org/rdf/page/s00055276n,s00055276n
http://babelnet.org/rdf/page/s00055791n,s00055791n
http://babelnet.org/rdf/page/s00055816n,s00055816n
http://babelnet.org/rdf/page/s00055917n,s00055917n
http://babelnet.org/rdf/page/s00056360n,s00056360n
http://babelnet.org/rdf/page/s00056589n,s00056589n
http://babelnet.org/rdf/page/s00056591n,s00056591n
http://babelnet.org/rdf/page/s00056680n,s00056680n
http://babelnet.org/rdf/page/s00056845n,s00056845n
http://babelnet.org/rdf/page/s00057267n,s00057267n
http://babelnet.org/rdf/page/s00057295n,s00057295n
http://babelnet.org/rdf/page/s00057339n,s00057339n
http://babelnet.org/rdf/page/s00057409n,s00057409n
