,,Disease Name,
http://babelnet.org/rdf/page/s16030314n,s16030314n,,
http://babelnet.org/rdf/page/s29205232n,s29205232n,,
http://babelnet.org/rdf/page/s08781391n,s08781391n,,
http://babelnet.org/rdf/page/s05083178n,s05083178n,,
http://babelnet.org/rdf/page/s08753382n,s08753382n,,
http://babelnet.org/rdf/page/s26450312n,s26450312n,,
http://babelnet.org/rdf/page/s05131073n,s05131073n,,
http://babelnet.org/rdf/page/s05207501n,s05207501n,,
http://babelnet.org/rdf/page/s06453254n,s06453254n,,
http://babelnet.org/rdf/page/s14915611n,s14915611n,,
http://babelnet.org/rdf/page/s17306988n,s17306988n,,
http://babelnet.org/rdf/page/s05128016n,s05128016n,,
http://babelnet.org/rdf/page/s06265761n,s06265761n,,
http://babelnet.org/rdf/page/s14081289n,s14081289n,,
http://babelnet.org/rdf/page/s14081457n,s14081457n,,
http://babelnet.org/rdf/page/s14084097n,s14084097n,,
http://babelnet.org/rdf/page/s14084238n,s14084238n,,
http://babelnet.org/rdf/page/s14116175n,s14116175n,,
http://babelnet.org/rdf/page/s14117749n,s14117749n,,
http://babelnet.org/rdf/page/s14119130n,s14119130n,,
http://babelnet.org/rdf/page/s14125944n,s14125944n,,
http://babelnet.org/rdf/page/s14127711n,s14127711n,,
http://babelnet.org/rdf/page/s14128400n,s14128400n,,
http://babelnet.org/rdf/page/s16030314n,s16030314n,,
http://babelnet.org/rdf/page/s29205232n,s29205232n,,
http://babelnet.org/rdf/page/s08781391n,s08781391n,,
http://babelnet.org/rdf/page/s05083178n,s05083178n,,
http://babelnet.org/rdf/page/s08753382n,s08753382n,,
http://babelnet.org/rdf/page/s26450312n,s26450312n,,
http://babelnet.org/rdf/page/s05131073n,s05131073n,,
http://babelnet.org/rdf/page/s05207501n,s05207501n,,
http://babelnet.org/rdf/page/s06453254n,s06453254n,,
http://babelnet.org/rdf/page/s14915611n,s14915611n,,
http://babelnet.org/rdf/page/s17306988n,s17306988n,,
http://babelnet.org/rdf/page/s05128016n,s05128016n,,
http://babelnet.org/rdf/page/s06265761n,s06265761n,,
http://babelnet.org/rdf/page/s14081289n,s14081289n,,
http://babelnet.org/rdf/page/s14081457n,s14081457n,,
http://babelnet.org/rdf/page/s14084097n,s14084097n,,
http://babelnet.org/rdf/page/s14084238n,s14084238n,,
http://babelnet.org/rdf/page/s14116175n,s14116175n,,
http://babelnet.org/rdf/page/s14117749n,s14117749n,,
http://babelnet.org/rdf/page/s14119130n,s14119130n,,
http://babelnet.org/rdf/page/s14125944n,s14125944n,,
http://babelnet.org/rdf/page/s14127711n,s14127711n,,
http://babelnet.org/rdf/page/s14128400n,s14128400n,,
http://babelnet.org/rdf/page/s14130597n,s14130597n,,
http://babelnet.org/rdf/page/s14554277n,s14554277n,,
http://babelnet.org/rdf/page/s16136683n,s16136683n,,
http://babelnet.org/rdf/page/s20230231n,s20230231n,,
http://babelnet.org/rdf/page/s21929943n,s21929943n,,
http://babelnet.org/rdf/page/s21933593n,s21933593n,,
http://babelnet.org/rdf/page/s21933903n,s21933903n,,
http://babelnet.org/rdf/page/s26345297n,s26345297n,,
http://babelnet.org/rdf/page/s26429578n,s26429578n,,
http://babelnet.org/rdf/page/s26563036n,s26563036n,,
http://babelnet.org/rdf/page/s26566775n,s26566775n,,
