Link,Name,Disease Name,Is it in Wikidata?
http://babelnet.org/rdf/page/s00016626n,s00016626n,cat scratch disease,
http://babelnet.org/rdf/page/s00016684n,s00016684n,catarrh,Yes
http://babelnet.org/rdf/page/s00016690n,s00016690n,catastrophic illness,
http://babelnet.org/rdf/page/s00016842n,s00016842n,cauliflower ear,
http://babelnet.org/rdf/page/s00017244n,s00017244n,encephalitis,Yes
http://babelnet.org/rdf/page/s00017334n,s00017334n,cerebral hemorrhage,
http://babelnet.org/rdf/page/s00017391n,s00017391n,cervicitis,Yes
http://babelnet.org/rdf/page/s00017784n,s00017784n,Charcot-Marie-Tooth disease,
http://babelnet.org/rdf/page/s00018344n,s00018344n,chilblain,
http://babelnet.org/rdf/page/s00018907n,s00018907n,chronic obstructive pulmonary disease,
http://babelnet.org/rdf/page/s00019040n,s00019040n,elephantiasis scroti,
http://babelnet.org/rdf/page/s00020075n,s00020075n,histamine headache,
http://babelnet.org/rdf/page/s00020238n,s00020238n,coccidioidomycosis,Yes
http://babelnet.org/rdf/page/s00020580n,s00020580n,colic,Yes
http://babelnet.org/rdf/page/s00021219n,s00021219n,communicable disease,
http://babelnet.org/rdf/page/s00021388n,s00021388n,complication,
http://babelnet.org/rdf/page/s00021677n,s00021677n,conductive hearing loss,
http://babelnet.org/rdf/page/s00021810n,s00021810n,genetic disease,
http://babelnet.org/rdf/page/s00021872n,s00021872n,Siamese twin,
http://babelnet.org/rdf/page/s00021888n,s00021888n,conjunctivitis,Yes
http://babelnet.org/rdf/page/s00022126n,s00022126n,contagious disease,
http://babelnet.org/rdf/page/s00022798n,s00022798n,coronary occlusion,
http://babelnet.org/rdf/page/s00023771n,s00023771n,cretinism,Yes
http://babelnet.org/rdf/page/s00024111n,s00024111n,crud,
http://babelnet.org/rdf/page/s00024172n,s00024172n,frostbite,Yes
http://babelnet.org/rdf/page/s00024395n,s00024395n,procrastination,Yes
http://babelnet.org/rdf/page/s00024562n,s00024562n,Cushing's disease,
http://babelnet.org/rdf/page/s00024563n,s00024563n,Cushing's syndrome,
http://babelnet.org/rdf/page/s00024880n,s00024880n,cyst,Yes
http://babelnet.org/rdf/page/s00024883n,s00024883n,fibrocystic breast disease,
http://babelnet.org/rdf/page/s00024886n,s00024886n,cystitis,Yes
http://babelnet.org/rdf/page/s00025163n,s00025163n,dandruff,Yes
http://babelnet.org/rdf/page/s00025463n,s00025463n,daze,
http://babelnet.org/rdf/page/s00025915n,s00025915n,deficiency disease,
http://babelnet.org/rdf/page/s00025962n,s00025962n,osteoarthritis,Yes
http://babelnet.org/rdf/page/s00026057n,s00026057n,delirium,Yes
http://babelnet.org/rdf/page/s00026058n,s00026058n,delirium tremens,
http://babelnet.org/rdf/page/s00026355n,s00026355n,depersonalization,Yes
http://babelnet.org/rdf/page/s00026454n,s00026454n,dermatitis,Yes
http://babelnet.org/rdf/page/s00026495n,s00026495n,prolapse,Yes
http://babelnet.org/rdf/page/s00026932n,s00026932n,dichromacy,
http://babelnet.org/rdf/page/s00027273n,s00027273n,diplegia,Yes
http://babelnet.org/rdf/page/s00027547n,s00027547n,disease of the neuromuscular junction,
http://babelnet.org/rdf/page/s00027548n,s00027548n,skin disease,
http://babelnet.org/rdf/page/s00027746n,s00027746n,distal muscular dystrophy,
http://babelnet.org/rdf/page/s00027818n,s00027818n,mental disorder,
http://babelnet.org/rdf/page/s00027872n,s00027872n,diverticulum,Yes
http://babelnet.org/rdf/page/s00028967n,s00028967n,dryness,Yes
http://babelnet.org/rdf/page/s00029273n,s00029273n,dwarfism,Yes
http://babelnet.org/rdf/page/s00029308n,s00029308n,dysarthria,Yes
http://babelnet.org/rdf/page/s00029318n,s00029318n,dyslexia,Yes
http://babelnet.org/rdf/page/s00029320n,s00029320n,dysmenorrhea,Yes
http://babelnet.org/rdf/page/s00029322n,s00029322n,dysosmia,Yes
http://babelnet.org/rdf/page/s00029323n,s00029323n,Hurler's syndrome,
http://babelnet.org/rdf/page/s00029331n,s00029331n,dysplasia,Yes
http://babelnet.org/rdf/page/s00029699n,s00029699n,ectopia,Yes
http://babelnet.org/rdf/page/s00030318n,s00030318n,elephantiasis,Yes
http://babelnet.org/rdf/page/s00030511n,s00030511n,embryonal rhabdomyosarcoma,
http://babelnet.org/rdf/page/s00030600n,s00030600n,emphysema,Yes
http://babelnet.org/rdf/page/s00030641n,s00030641n,empyema,Yes
http://babelnet.org/rdf/page/s00030753n,s00030753n,endemic,
http://babelnet.org/rdf/page/s00030778n,s00030778n,metritis,Yes
http://babelnet.org/rdf/page/s00031001n,s00031001n,enteropathy,Yes
http://babelnet.org/rdf/page/s00031066n,s00031066n,enuresis,Yes
http://babelnet.org/rdf/page/s00031142n,s00031142n,epicondylitis,Yes
http://babelnet.org/rdf/page/s00031230n,s00031230n,epispadias,Yes
http://babelnet.org/rdf/page/s00031255n,s00031255n,epithelioma,Yes
http://babelnet.org/rdf/page/s00031504n,s00031504n,erysipelas,Yes
http://babelnet.org/rdf/page/s00031510n,s00031510n,erythema nodosum,
http://babelnet.org/rdf/page/s00031522n,s00031522n,erythroderma,Yes
http://babelnet.org/rdf/page/s00032104n,s00032104n,exanthema subitum,
http://babelnet.org/rdf/page/s00032529n,s00032529n,eye disease,
http://babelnet.org/rdf/page/s00032531n,s00032531n,sty,
http://babelnet.org/rdf/page/s00034420n,s00034420n,filariasis,Yes
http://babelnet.org/rdf/page/s00034891n,s00034891n,fistula,Yes
http://babelnet.org/rdf/page/s00035106n,s00035106n,flatfoot,Yes
http://babelnet.org/rdf/page/s00035153n,s00035153n,flea bite,
http://babelnet.org/rdf/page/s00035268n,s00035268n,musca volitans,
http://babelnet.org/rdf/page/s00035422n,s00035422n,Wernicke's aphasia,
http://babelnet.org/rdf/page/s00035559n,s00035559n,focal seizure,
http://babelnet.org/rdf/page/s00035621n,s00035621n,folliculitis,Yes
http://babelnet.org/rdf/page/s00035664n,s00035664n,food poisoning,
http://babelnet.org/rdf/page/s00036651n,s00036651n,frontal sinus,
http://babelnet.org/rdf/page/s00036684n,s00036684n,fructosuria,Yes
http://babelnet.org/rdf/page/s00036830n,s00036830n,functional disorder,
http://babelnet.org/rdf/page/s00040415n,s00040415n,giantism,Yes
http://babelnet.org/rdf/page/s00040595n,s00040595n,infectious mononucleosis,
http://babelnet.org/rdf/page/s00040917n,s00040917n,goiter,Yes
http://babelnet.org/rdf/page/s00041395n,s00041395n,granuloma,Yes
http://babelnet.org/rdf/page/s00042412n,s00042412n,habitual abortion,
http://babelnet.org/rdf/page/s00042483n,s00042483n,hemorrhoid,Yes
http://babelnet.org/rdf/page/s00042486n,s00042486n,hemosiderosis,Yes
http://babelnet.org/rdf/page/s00042715n,s00042715n,hamartoma,Yes
http://babelnet.org/rdf/page/s00042773n,s00042773n,Hand-Schuller-Christian disease,
http://babelnet.org/rdf/page/s00043426n,s00043426n,heat exhaustion,
http://babelnet.org/rdf/page/s00043656n,s00043656n,migraine,Yes
http://babelnet.org/rdf/page/s00043664n,s00043664n,hemiplegia,Yes
http://babelnet.org/rdf/page/s00043848n,s00043848n,hernia,Yes
http://babelnet.org/rdf/page/s00043849n,s00043849n,herniated disc,
http://babelnet.org/rdf/page/s00043874n,s00043874n,herpes simplex,
http://babelnet.org/rdf/page/s00044056n,s00044056n,high blood pressure,
http://babelnet.org/rdf/page/s00044238n,s00044238n,hirsuteness,
http://babelnet.org/rdf/page/s00044428n,s00044428n,lordosis,Yes
http://babelnet.org/rdf/page/s00045208n,s00045208n,kyphosis,Yes
http://babelnet.org/rdf/page/s00045408n,s00045408n,rabies,Yes
http://babelnet.org/rdf/page/s00045514n,s00045514n,lipemia,Yes
http://babelnet.org/rdf/page/s00045532n,s00045532n,hyperplasia,Yes
http://babelnet.org/rdf/page/s00045549n,s00045549n,hypertrophy,Yes
http://babelnet.org/rdf/page/s00045552n,s00045552n,hypervitaminosis,Yes
http://babelnet.org/rdf/page/s00045553n,s00045553n,hypervolemia,Yes
http://babelnet.org/rdf/page/s00045577n,s00045577n,hypocalcemia,Yes
http://babelnet.org/rdf/page/s00045602n,s00045602n,hyponatremia,Yes
http://babelnet.org/rdf/page/s00045630n,s00045630n,hypothermia,Yes
http://babelnet.org/rdf/page/s00045640n,s00045640n,hypovolemia,Yes
http://babelnet.org/rdf/page/s00045642n,s00045642n,hypoxia,Yes
http://babelnet.org/rdf/page/s00045792n,s00045792n,seizure,Yes
http://babelnet.org/rdf/page/s00045843n,s00045843n,idiopathic disease,
http://babelnet.org/rdf/page/s00045844n,s00045844n,thrombocytopenic purpura,
http://babelnet.org/rdf/page/s00045916n,s00045916n,ileitis,Yes
http://babelnet.org/rdf/page/s00046325n,s00046325n,incompetence,
http://babelnet.org/rdf/page/s00046564n,s00046564n,occupational disease,
http://babelnet.org/rdf/page/s00046630n,s00046630n,infectious disease,
http://babelnet.org/rdf/page/s00046653n,s00046653n,inferiority complex,
http://babelnet.org/rdf/page/s00046672n,s00046672n,inflammation,
http://babelnet.org/rdf/page/s00046673n,s00046673n,inflammatory disease,
http://babelnet.org/rdf/page/s00046756n,s00046756n,inguinal hernia,
http://babelnet.org/rdf/page/s00046918n,s00046918n,insomnia,Yes
http://babelnet.org/rdf/page/s00047225n,s00047225n,pneumocytosis,
http://babelnet.org/rdf/page/s00047228n,s00047228n,intertrigo,Yes
http://babelnet.org/rdf/page/s00047565n,s00047565n,irritable bowel syndrome,
http://babelnet.org/rdf/page/s00047725n,s00047725n,scabies,Yes
http://babelnet.org/rdf/page/s00048170n,s00048170n,jet lag,
http://babelnet.org/rdf/page/s00048856n,s00048856n,Kawasaki disease,
http://babelnet.org/rdf/page/s00048939n,s00048939n,keratoconus,Yes
http://babelnet.org/rdf/page/s00048952n,s00048952n,keratosis pilaris,
http://babelnet.org/rdf/page/s00048956n,s00048956n,kerion,Yes
http://babelnet.org/rdf/page/s00049637n,s00049637n,lactose intolerance,
http://babelnet.org/rdf/page/s00050059n,s00050059n,laryngospasm,Yes
http://babelnet.org/rdf/page/s00050136n,s00050136n,tennis elbow,
http://babelnet.org/rdf/page/s00051627n,s00051627n,liver disease,
http://babelnet.org/rdf/page/s00052428n,s00052428n,Lyme disease,
http://babelnet.org/rdf/page/s00052437n,s00052437n,lymphangiectasia,Yes
